order_id,product_id,customer_id,employee_id,shipper_id,order_date,month_order,order_year,order_quarter,order_month,order_month_abbr,required_date,shipped_date,ship_status,ship_name,ship_address,ship_city,ship_region,ship_postal_code,ship_country,customer_name,customer_contact,customer_phone,customer_city,customer_region,customer_postal_code,customer_country,employee_name,employee_title,employee_city,employee_country,shipper_name,product_name,catalog_unit_price,price_band,category_id,category_name,trx_unit_price,quantity,discount,discount_pct,net_sales,freight_alloc,sales_plus_freight,discount_flag,freight_ratio,repeat_customer_flag,delivery_days,is_late,ship_speed_category,pk_composite
10251,65,VICTE,3,1,2023-12-20,2023-12-01,2023,4,12,Dec,2024-01-17,2023-12-27,On time,Victuailles en stock,"2, rue du Commerce",Lyon,Unknown,69004,France,Victuailles en stock,Mary Saveley,78.32.54.86,Lyon,Europe,69004,France,Janet Leverling,Sales Representative,Kirkland,USA,Speedy Express,Louisiana Fiery Hot Pepper Sauce,21.05,20–50,2,Condiments,16.8,20,0.0,0,336.0,21.24,357.24,0,0.06321428571428571,1,7.0,0,Slow,10251_65
10252,20,SUPRD,4,2,2023-12-21,2023-12-01,2023,4,12,Dec,2024-01-18,2023-12-23,On time,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,Unknown,B-6000,Belgium,Suprêmes délices,Pascale Cartrain,(071) 23 67 22 20,Charleroi,Europe,B-6000,Belgium,Margaret Peacock,Sales Representative,Redmond,USA,United Package,Sir Rodney's Marmalade,81.0,>50,3,Confections,64.8,40,0.05,5,2462.4,35.11,2497.51,1,0.014258447043534761,1,2.0,0,Fast,10252_20
10252,33,SUPRD,4,2,2023-12-21,2023-12-01,2023,4,12,Dec,2024-01-18,2023-12-23,On time,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,Unknown,B-6000,Belgium,Suprêmes délices,Pascale Cartrain,(071) 23 67 22 20,Charleroi,Europe,B-6000,Belgium,Margaret Peacock,Sales Representative,Redmond,USA,United Package,Geitost,2.5,<10,4,Dairy Products,2.0,25,0.05,5,47.5,0.68,48.18,1,0.014315789473684212,1,2.0,0,Fast,10252_33
10252,60,SUPRD,4,2,2023-12-21,2023-12-01,2023,4,12,Dec,2024-01-18,2023-12-23,On time,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,Unknown,B-6000,Belgium,Suprêmes délices,Pascale Cartrain,(071) 23 67 22 20,Charleroi,Europe,B-6000,Belgium,Margaret Peacock,Sales Representative,Redmond,USA,United Package,Camembert Pierrot,34.0,20–50,4,Dairy Products,27.2,40,0.0,0,1088.0,15.51,1103.51,0,0.014255514705882353,1,2.0,0,Fast,10252_60
10253,31,HANAR,3,2,2023-12-22,2023-12-01,2023,4,12,Dec,2024-01-05,2023-12-28,On time,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,Hanari Carnes,Mario Pontes,(21) 555-0091,Rio de Janeiro,South America,05454-876,Brazil,Janet Leverling,Sales Representative,Kirkland,USA,United Package,Gorgonzola Telino,12.5,10–20,4,Dairy Products,10.0,20,0.0,0,200.0,8.05,208.05,0,0.04025,1,6.0,0,Slow,10253_31
10253,39,HANAR,3,2,2023-12-22,2023-12-01,2023,4,12,Dec,2024-01-05,2023-12-28,On time,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,Hanari Carnes,Mario Pontes,(21) 555-0091,Rio de Janeiro,South America,05454-876,Brazil,Janet Leverling,Sales Representative,Kirkland,USA,United Package,Chartreuse verte,18.0,10–20,1,Beverages,14.4,42,0.0,0,604.8,24.35,629.15,0,0.040261243386243394,1,6.0,0,Slow,10253_39
10253,49,HANAR,3,2,2023-12-22,2023-12-01,2023,4,12,Dec,2024-01-05,2023-12-28,On time,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,Hanari Carnes,Mario Pontes,(21) 555-0091,Rio de Janeiro,South America,05454-876,Brazil,Janet Leverling,Sales Representative,Kirkland,USA,United Package,Maxilaku,20.0,20–50,3,Confections,16.0,40,0.0,0,640.0,25.77,665.77,0,0.040265625,1,6.0,0,Slow,10253_49
10254,24,CHOPS,5,2,2023-12-23,2023-12-01,2023,4,12,Dec,2024-01-20,2024-01-04,On time,Chop-suey Chinese,Hauptstr. 31,Bern,Unknown,3012,Switzerland,Chop-suey Chinese,Yang Wang,0452-076545,Bern,Europe,3012,Switzerland,Steven Buchanan,Sales Manager,London,UK,United Package,Guaraná Fantástica,4.5,<10,1,Beverages,3.6,15,0.15,15,45.9,1.89,47.79,1,0.041176470588235294,1,12.0,0,Slow,10254_24
10254,55,CHOPS,5,2,2023-12-23,2023-12-01,2023,4,12,Dec,2024-01-20,2024-01-04,On time,Chop-suey Chinese,Hauptstr. 31,Bern,Unknown,3012,Switzerland,Chop-suey Chinese,Yang Wang,0452-076545,Bern,Europe,3012,Switzerland,Steven Buchanan,Sales Manager,London,UK,United Package,Pâté chinois,24.0,20–50,6,Meat/Poultry,19.2,21,0.15,15,342.72,14.15,356.87,1,0.04128734827264239,1,12.0,0,Slow,10254_55
10254,74,CHOPS,5,2,2023-12-23,2023-12-01,2023,4,12,Dec,2024-01-20,2024-01-04,On time,Chop-suey Chinese,Hauptstr. 31,Bern,Unknown,3012,Switzerland,Chop-suey Chinese,Yang Wang,0452-076545,Bern,Europe,3012,Switzerland,Steven Buchanan,Sales Manager,London,UK,United Package,Longlife Tofu,10.0,10–20,7,Produce,8.0,21,0.0,0,168.0,6.94,174.94,0,0.04130952380952381,1,12.0,0,Slow,10254_74
10255,2,RICSU,9,3,2023-12-24,2023-12-01,2023,4,12,Dec,2024-01-21,2023-12-27,On time,Richter Supermarkt,Starenweg 5,Genève,Unknown,1204,Switzerland,Richter Supermarkt,Michael Holz,0897-034214,Genève,Europe,1203,Switzerland,Anne Dodsworth,Sales Representative,London,UK,Federal Shipping,Chang,19.0,10–20,1,Beverages,15.2,20,0.0,0,304.0,18.11,322.11,0,0.05957236842105263,1,3.0,0,Medium,10255_2
10255,16,RICSU,9,3,2023-12-24,2023-12-01,2023,4,12,Dec,2024-01-21,2023-12-27,On time,Richter Supermarkt,Starenweg 5,Genève,Unknown,1204,Switzerland,Richter Supermarkt,Michael Holz,0897-034214,Genève,Europe,1203,Switzerland,Anne Dodsworth,Sales Representative,London,UK,Federal Shipping,Pavlova,17.45,10–20,3,Confections,13.9,35,0.0,0,486.5,28.98,515.48,0,0.05956834532374101,1,3.0,0,Medium,10255_16
10255,36,RICSU,9,3,2023-12-24,2023-12-01,2023,4,12,Dec,2024-01-21,2023-12-27,On time,Richter Supermarkt,Starenweg 5,Genève,Unknown,1204,Switzerland,Richter Supermarkt,Michael Holz,0897-034214,Genève,Europe,1203,Switzerland,Anne Dodsworth,Sales Representative,London,UK,Federal Shipping,Inlagd Sill,19.0,10–20,8,Seafood,15.2,25,0.0,0,380.0,22.63,402.63,0,0.059552631578947364,1,3.0,0,Medium,10255_36
10255,59,RICSU,9,3,2023-12-24,2023-12-01,2023,4,12,Dec,2024-01-21,2023-12-27,On time,Richter Supermarkt,Starenweg 5,Genève,Unknown,1204,Switzerland,Richter Supermarkt,Michael Holz,0897-034214,Genève,Europe,1203,Switzerland,Anne Dodsworth,Sales Representative,London,UK,Federal Shipping,Raclette Courdavault,55.0,>50,4,Dairy Products,44.0,30,0.0,0,1320.0,78.62,1398.62,0,0.059560606060606064,1,3.0,0,Medium,10255_59
10256,53,WELLI,3,2,2023-12-27,2023-12-01,2023,4,12,Dec,2024-01-24,2023-12-29,On time,Wellington Importadora,"Rua do Mercado, 12",Resende,SP,08737-363,Brazil,Wellington Importadora,Paula Parente,(14) 555-8122,Resende,South America,08737-363,Brazil,Janet Leverling,Sales Representative,Kirkland,USA,United Package,Perth Pasties,32.8,20–50,6,Meat/Poultry,26.2,15,0.0,0,393.0,10.6,403.6,0,0.026972010178117047,1,2.0,0,Fast,10256_53
10256,77,WELLI,3,2,2023-12-27,2023-12-01,2023,4,12,Dec,2024-01-24,2023-12-29,On time,Wellington Importadora,"Rua do Mercado, 12",Resende,SP,08737-363,Brazil,Wellington Importadora,Paula Parente,(14) 555-8122,Resende,South America,08737-363,Brazil,Janet Leverling,Sales Representative,Kirkland,USA,United Package,Original Frankfurter grüne Soße,13.0,10–20,2,Condiments,10.4,12,0.0,0,124.8,3.37,128.17,0,0.02700320512820513,1,2.0,0,Fast,10256_77
10257,27,HILAA,4,3,2023-12-28,2023-12-01,2023,4,12,Dec,2024-01-25,2024-01-03,On time,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,HILARION-Abastos,Carlos Hernández,(5) 555-1340,San Cristóbal,South America,5022,Venezuela,Margaret Peacock,Sales Representative,Redmond,USA,Federal Shipping,Schoggi Schokolade,43.9,20–50,3,Confections,35.1,25,0.0,0,877.5,64.18,941.68,0,0.07313960113960115,1,6.0,0,Slow,10257_27
10257,39,HILAA,4,3,2023-12-28,2023-12-01,2023,4,12,Dec,2024-01-25,2024-01-03,On time,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,HILARION-Abastos,Carlos Hernández,(5) 555-1340,San Cristóbal,South America,5022,Venezuela,Margaret Peacock,Sales Representative,Redmond,USA,Federal Shipping,Chartreuse verte,18.0,10–20,1,Beverages,14.4,6,0.0,0,86.4,6.32,92.72,0,0.07314814814814814,1,6.0,0,Slow,10257_39
10257,77,HILAA,4,3,2023-12-28,2023-12-01,2023,4,12,Dec,2024-01-25,2024-01-03,On time,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,HILARION-Abastos,Carlos Hernández,(5) 555-1340,San Cristóbal,South America,5022,Venezuela,Margaret Peacock,Sales Representative,Redmond,USA,Federal Shipping,Original Frankfurter grüne Soße,13.0,10–20,2,Condiments,10.4,15,0.0,0,156.0,11.41,167.41,0,0.07314102564102565,1,6.0,0,Slow,10257_77
10258,2,ERNSH,1,1,2023-12-29,2023-12-01,2023,4,12,Dec,2024-01-26,2024-01-04,On time,Ernst Handel,Kirchgasse 6,Graz,Unknown,8010,Austria,Ernst Handel,Roland Mendel,7675-3425,Graz,Europe,8010,Austria,Nancy Davolio,Sales Representative,Seattle,USA,Speedy Express,Chang,19.0,10–20,1,Beverages,15.2,50,0.2,20,608.0,52.9,660.9,1,0.08700657894736842,1,6.0,0,Slow,10258_2
10258,5,ERNSH,1,1,2023-12-29,2023-12-01,2023,4,12,Dec,2024-01-26,2024-01-04,On time,Ernst Handel,Kirchgasse 6,Graz,Unknown,8010,Austria,Ernst Handel,Roland Mendel,7675-3425,Graz,Europe,8010,Austria,Nancy Davolio,Sales Representative,Seattle,USA,Speedy Express,Chef Anton's Gumbo Mix,21.35,20–50,2,Condiments,17.0,65,0.2,20,884.0,76.92,960.92,1,0.08701357466063349,1,6.0,0,Slow,10258_5
10258,32,ERNSH,1,1,2023-12-29,2023-12-01,2023,4,12,Dec,2024-01-26,2024-01-04,On time,Ernst Handel,Kirchgasse 6,Graz,Unknown,8010,Austria,Ernst Handel,Roland Mendel,7675-3425,Graz,Europe,8010,Austria,Nancy Davolio,Sales Representative,Seattle,USA,Speedy Express,Mascarpone Fabioli,32.0,20–50,4,Dairy Products,25.6,6,0.2,20,122.88,10.69,133.57,1,0.08699544270833333,1,6.0,0,Slow,10258_32
10259,21,CENTC,4,3,2023-12-30,2023-12-01,2023,4,12,Dec,2024-01-27,2024-01-06,On time,Centro comercial Moctezuma,Sierras de Granada 9993,México D.F.,Unknown,5022,Mexico,Centro comercial Moctezuma,Francisco Chang,(5) 555-3392,México D.F.,North America,5022,Mexico,Margaret Peacock,Sales Representative,Redmond,USA,Federal Shipping,Sir Rodney's Scones,10.0,10–20,3,Confections,8.0,10,0.0,0,80.0,2.58,82.58,0,0.03225,1,7.0,0,Slow,10259_21
10259,37,CENTC,4,3,2023-12-30,2023-12-01,2023,4,12,Dec,2024-01-27,2024-01-06,On time,Centro comercial Moctezuma,Sierras de Granada 9993,México D.F.,Unknown,5022,Mexico,Centro comercial Moctezuma,Francisco Chang,(5) 555-3392,México D.F.,North America,5022,Mexico,Margaret Peacock,Sales Representative,Redmond,USA,Federal Shipping,Gravad lax,26.0,20–50,8,Seafood,20.8,1,0.0,0,20.8,0.67,21.47,0,0.032211538461538465,1,7.0,0,Slow,10259_37
10260,41,OTTIK,4,1,2023-12-31,2023-12-01,2023,4,12,Dec,2024-01-28,2024-01-10,On time,Ottilies Käseladen,Mehrheimerstr. 369,Köln,Unknown,50739,Germany,Ottilies Käseladen,Henriette Pfalzheim,0221-0644327,Köln,Europe,50739,Germany,Margaret Peacock,Sales Representative,Redmond,USA,Speedy Express,Jack's New England Clam Chowder,9.65,<10,8,Seafood,7.7,16,0.25,25,92.4,3.38,95.78,1,0.036580086580086574,1,10.0,0,Slow,10260_41
10260,57,OTTIK,4,1,2023-12-31,2023-12-01,2023,4,12,Dec,2024-01-28,2024-01-10,On time,Ottilies Käseladen,Mehrheimerstr. 369,Köln,Unknown,50739,Germany,Ottilies Käseladen,Henriette Pfalzheim,0221-0644327,Köln,Europe,50739,Germany,Margaret Peacock,Sales Representative,Redmond,USA,Speedy Express,Ravioli Angelo,19.5,10–20,5,Grains/Cereals,15.6,50,0.0,0,780.0,28.56,808.56,0,0.03661538461538461,1,10.0,0,Slow,10260_57
10260,62,OTTIK,4,1,2023-12-31,2023-12-01,2023,4,12,Dec,2024-01-28,2024-01-10,On time,Ottilies Käseladen,Mehrheimerstr. 369,Köln,Unknown,50739,Germany,Ottilies Käseladen,Henriette Pfalzheim,0221-0644327,Köln,Europe,50739,Germany,Margaret Peacock,Sales Representative,Redmond,USA,Speedy Express,Tarte au sucre,49.3,20–50,3,Confections,39.4,15,0.25,25,443.25,16.23,459.48,1,0.03661590524534687,1,10.0,0,Slow,10260_62
10260,70,OTTIK,4,1,2023-12-31,2023-12-01,2023,4,12,Dec,2024-01-28,2024-01-10,On time,Ottilies Käseladen,Mehrheimerstr. 369,Köln,Unknown,50739,Germany,Ottilies Käseladen,Henriette Pfalzheim,0221-0644327,Köln,Europe,50739,Germany,Margaret Peacock,Sales Representative,Redmond,USA,Speedy Express,Outback Lager,15.0,10–20,1,Beverages,12.0,21,0.25,25,189.0,6.92,195.92,1,0.03661375661375661,1,10.0,0,Slow,10260_70
10261,21,QUEDE,4,2,2023-12-31,2023-12-01,2023,4,12,Dec,2024-01-28,2024-01-11,On time,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil,Que Delícia,Bernardo Batista,(21) 555-4252,Rio de Janeiro,South America,02389-673,Brazil,Margaret Peacock,Sales Representative,Redmond,USA,United Package,Sir Rodney's Scones,10.0,10–20,3,Confections,8.0,20,0.0,0,160.0,1.09,161.09,0,0.006812500000000001,1,11.0,0,Slow,10261_21
10261,35,QUEDE,4,2,2023-12-31,2023-12-01,2023,4,12,Dec,2024-01-28,2024-01-11,On time,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil,Que Delícia,Bernardo Batista,(21) 555-4252,Rio de Janeiro,South America,02389-673,Brazil,Margaret Peacock,Sales Representative,Redmond,USA,United Package,Steeleye Stout,18.0,10–20,1,Beverages,14.4,20,0.0,0,288.0,1.96,289.96,0,0.006805555555555555,1,11.0,0,Slow,10261_35
10262,5,RATTC,8,3,2024-01-03,2024-01-01,2024,1,1,Jan,2024-01-31,2024-01-06,On time,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,Rattlesnake Canyon Grocery,Paula Wilson,(505) 555-5939,Albuquerque,North America,87110,USA,Laura Callahan,Inside Sales Coordinator,Seattle,USA,Federal Shipping,Chef Anton's Gumbo Mix,21.35,20–50,2,Condiments,17.0,12,0.2,20,163.2,13.49,176.69,1,0.08265931372549021,1,3.0,0,Medium,10262_5
10262,7,RATTC,8,3,2024-01-03,2024-01-01,2024,1,1,Jan,2024-01-31,2024-01-06,On time,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,Rattlesnake Canyon Grocery,Paula Wilson,(505) 555-5939,Albuquerque,North America,87110,USA,Laura Callahan,Inside Sales Coordinator,Seattle,USA,Federal Shipping,Uncle Bob's Organic Dried Pears,30.0,20–50,7,Produce,24.0,15,0.0,0,360.0,29.77,389.77,0,0.08269444444444445,1,3.0,0,Medium,10262_7
10262,56,RATTC,8,3,2024-01-03,2024-01-01,2024,1,1,Jan,2024-01-31,2024-01-06,On time,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,Rattlesnake Canyon Grocery,Paula Wilson,(505) 555-5939,Albuquerque,North America,87110,USA,Laura Callahan,Inside Sales Coordinator,Seattle,USA,Federal Shipping,Gnocchi di nonna Alice,38.0,20–50,5,Grains/Cereals,30.4,2,0.0,0,60.8,5.03,65.83,0,0.08273026315789475,1,3.0,0,Medium,10262_56
10263,16,ERNSH,9,3,2024-01-04,2024-01-01,2024,1,1,Jan,2024-02-01,2024-01-12,On time,Ernst Handel,Kirchgasse 6,Graz,Unknown,8010,Austria,Ernst Handel,Roland Mendel,7675-3425,Graz,Europe,8010,Austria,Anne Dodsworth,Sales Representative,London,UK,Federal Shipping,Pavlova,17.45,10–20,3,Confections,13.9,60,0.25,25,625.5,48.76,674.26,1,0.07795363709032774,1,8.0,0,Slow,10263_16
10263,24,ERNSH,9,3,2024-01-04,2024-01-01,2024,1,1,Jan,2024-02-01,2024-01-12,On time,Ernst Handel,Kirchgasse 6,Graz,Unknown,8010,Austria,Ernst Handel,Roland Mendel,7675-3425,Graz,Europe,8010,Austria,Anne Dodsworth,Sales Representative,London,UK,Federal Shipping,Guaraná Fantástica,4.5,<10,1,Beverages,3.6,28,0.0,0,100.8,7.86,108.66,0,0.07797619047619048,1,8.0,0,Slow,10263_24
10263,30,ERNSH,9,3,2024-01-04,2024-01-01,2024,1,1,Jan,2024-02-01,2024-01-12,On time,Ernst Handel,Kirchgasse 6,Graz,Unknown,8010,Austria,Ernst Handel,Roland Mendel,7675-3425,Graz,Europe,8010,Austria,Anne Dodsworth,Sales Representative,London,UK,Federal Shipping,Nord-Ost Matjeshering,25.89,20–50,8,Seafood,20.7,60,0.25,25,931.5,72.61,1004.11,1,0.0779495437466452,1,8.0,0,Slow,10263_30
10263,74,ERNSH,9,3,2024-01-04,2024-01-01,2024,1,1,Jan,2024-02-01,2024-01-12,On time,Ernst Handel,Kirchgasse 6,Graz,Unknown,8010,Austria,Ernst Handel,Roland Mendel,7675-3425,Graz,Europe,8010,Austria,Anne Dodsworth,Sales Representative,London,UK,Federal Shipping,Longlife Tofu,10.0,10–20,7,Produce,8.0,36,0.25,25,216.0,16.84,232.84,1,0.07796296296296296,1,8.0,0,Slow,10263_74
10264,2,FOLKO,6,3,2024-01-05,2024-01-01,2024,1,1,Jan,2024-02-02,2024-02-04,Late,Folk och fä HB,Åkergatan 24,Bräcke,Unknown,S-844 67,Sweden,Folk och fä HB,Maria Larsson,0695-34 67 21,Bräcke,Europe,S-844 67,Sweden,Michael Suyama,Sales Representative,London,UK,Federal Shipping,Chang,19.0,10–20,1,Beverages,15.2,35,0.0,0,532.0,2.81,534.81,0,0.005281954887218045,1,30.0,1,Slow,10264_2
10264,41,FOLKO,6,3,2024-01-05,2024-01-01,2024,1,1,Jan,2024-02-02,2024-02-04,Late,Folk och fä HB,Åkergatan 24,Bräcke,Unknown,S-844 67,Sweden,Folk och fä HB,Maria Larsson,0695-34 67 21,Bräcke,Europe,S-844 67,Sweden,Michael Suyama,Sales Representative,London,UK,Federal Shipping,Jack's New England Clam Chowder,9.65,<10,8,Seafood,7.7,25,0.15,15,163.62,0.86,164.48,1,0.0052560811636719225,1,30.0,1,Slow,10264_41
10265,17,BLONP,2,1,2024-01-06,2024-01-01,2024,1,1,Jan,2024-02-03,2024-01-24,On time,Blondel père et fils,"24, place Kléber",Strasbourg,Unknown,67000,France,Blondesddsl pÃ¨re et fils,Frédérique Citeaux,88.60.15.31,Strasbourg,Europe,67000,France,Andrew Fuller,"Vice President, Sales",Tacoma,USA,Speedy Express,Alice Mutton,39.0,20–50,6,Meat/Poultry,31.2,30,0.0,0,936.0,44.0,980.0,0,0.04700854700854701,1,18.0,0,Slow,10265_17
10265,70,BLONP,2,1,2024-01-06,2024-01-01,2024,1,1,Jan,2024-02-03,2024-01-24,On time,Blondel père et fils,"24, place Kléber",Strasbourg,Unknown,67000,France,Blondesddsl pÃ¨re et fils,Frédérique Citeaux,88.60.15.31,Strasbourg,Europe,67000,France,Andrew Fuller,"Vice President, Sales",Tacoma,USA,Speedy Express,Outback Lager,15.0,10–20,1,Beverages,12.0,20,0.0,0,240.0,11.28,251.28,0,0.047,1,18.0,0,Slow,10265_70
10266,12,WARTH,3,3,2024-01-07,2024-01-01,2024,1,1,Jan,2024-02-18,2024-01-12,On time,Wartian Herkku,Torikatu 38,Oulu,Unknown,90110,Finland,Wartian Herkku,Pirkko Koskitalo,981-443655,Oulu,Europe,90110,Finland,Janet Leverling,Sales Representative,Kirkland,USA,Federal Shipping,Queso Manchego La Pastora,38.0,20–50,4,Dairy Products,30.4,12,0.05,5,346.56,25.73,372.29,1,0.07424399815327794,1,5.0,0,Medium,10266_12
10267,40,FRANK,4,1,2024-01-10,2024-01-01,2024,1,1,Jan,2024-02-07,2024-01-18,On time,Frankenversand,Berliner Platz 43,München,Unknown,80805,Germany,Frankenversand,Peter Franken,089-0877310,München,Europe,80805,Germany,Margaret Peacock,Sales Representative,Redmond,USA,Speedy Express,Boston Crab Meat,18.4,10–20,8,Seafood,14.7,50,0.0,0,735.0,43.35,778.35,0,0.05897959183673469,1,8.0,0,Slow,10267_40
10267,59,FRANK,4,1,2024-01-10,2024-01-01,2024,1,1,Jan,2024-02-07,2024-01-18,On time,Frankenversand,Berliner Platz 43,München,Unknown,80805,Germany,Frankenversand,Peter Franken,089-0877310,München,Europe,80805,Germany,Margaret Peacock,Sales Representative,Redmond,USA,Speedy Express,Raclette Courdavault,55.0,>50,4,Dairy Products,44.0,70,0.15,15,2618.0,154.4,2772.4,1,0.05897631779984722,1,8.0,0,Slow,10267_59
